MenuItemID,RestaurantID,ItemName,Description,Price,Category,Availability,ItemType,Ratings,CreatedDate,ModifiedDate
33589,2687,Lemon Rice,Traditional Indian Lemon Rice with rich flavors.,335,South Indian,True,Veg,4.0,2022-11-03 17:46:28,2025-02-21 03:40:49.000000
29518,2361,Egg Curry,Classic Egg Curry with a twist.,161,Main Course,True,Non-Veg,4.0,2022-07-12 23:57:53,2023-05-05 05:00:27.000000
1590,128,Cold Brew Coffee,Classic Cold Brew Coffee with a twist.,319,Beverages,True,Veg,,2025-04-03 21:37:35,2025-04-04 20:25:11.000000
25030,2004,Dabeli,Classic Dabeli with a twist.,369,Snacks & Street Food,True,Veg,,2025-03-20 06:22:02,2025-04-11 02:10:04.000000
30398,2433,Chicken Manchurian,Delicious and authentic Chicken Manchurian.,234,Chinese & Indo-Chinese,True,Non-Veg,2.6,2021-07-20 00:47:49,2023-09-05 14:09:11.000000
22384,1793,Lassi,A must-try Lassi from India.,395,Beverages,True,Veg,2.5,2024-08-06 20:46:31,2024-09-15 03:52:58.000000
3936,319,Samosa Chaat,Delicious and authentic Samosa Chaat.,190,Snacks & Street Food,True,Veg,3.8,2023-10-18 20:11:43,2024-07-19 15:35:57.000000
6498,523,Chole Bhature,Classic Chole Bhature with a twist.,292,Main Course,True,Veg,4.0,2024-02-29 07:38:29,2024-12-01 18:36:51.000000
25372,2031,Penne Arrabbiata,A popular Indian dish.,308,Italian & Continental,True,Veg,4.5,2025-04-02 12:43:15,2025-04-03 18:44:59.000000
21696,1739,Fruit Juice,Traditional Indian Fruit Juice with rich flavors.,401,Beverages,True,Veg,4.3,2025-01-04 13:11:40,2025-03-28 02:31:54.000000
24235,1941,Gobi Manchurian,Traditional Indian Gobi Manchurian with rich flavors.,453,Appetizers,True,Veg,3.7,2022-11-07 20:44:10,2024-10-18 18:25:47.000000
814,66,Cold Brew Coffee,Classic Cold Brew Coffee with a twist.,474,Beverages,True,Veg,5.0,2024-04-04 09:33:13,2024-09-24 22:24:42.000000
26719,2137,Gulab Jamun,Traditional Indian Gulab Jamun with rich flavors.,180,Desserts,True,Veg,4.0,2024-07-17 21:45:53,2025-03-05 20:50:44.000000
14425,1159,Chettinad Chicken Curry,A must-try Chettinad Chicken Curry from India.,59,South Indian,True,Non-Veg,3.4,2024-07-19 08:49:29,2024-11-28 20:02:34.000000
6317,509,Chicken 65,Traditional Indian Chicken 65 with rich flavors.,439,Chinese & Indo-Chinese,True,Non-Veg,4.0,2023-06-30 18:32:02,2023-11-20 18:45:18.000000
1824,147,Coconut Water,Traditional Indian Coconut Water with rich flavors.,540,Beverages,True,Veg,5.0,2025-05-10 04:37:11,2025-05-10 04:37:11.033983
26475,2117,Sindhi Kadhi,Classic Sindhi Kadhi with a twist.,203,Main Course,True,Veg,4.0,2024-07-09 06:48:42,2024-12-04 17:06:27.000000
9375,756,Triple Schezwan Rice,Classic Triple Schezwan Rice with a twist.,345,Chinese & Indo-Chinese,True,Veg,2.3,2024-08-19 06:51:48,2024-09-06 05:02:03.000000
15136,1216,Dum Aloo,Traditional Indian Dum Aloo with rich flavors.,302,Main Course,True,Veg,3.4,2023-11-16 15:06:48,2024-12-19 16:05:35.000000
3303,267,Masala Dosa,Traditional Indian Masala Dosa with rich flavors.,121,South Indian,True,Veg,,2025-01-08 12:18:15,2025-02-16 05:27:07.000000
28009,2239,Lasagna,A popular Indian dish.,290,Italian & Continental,True,Veg,,2025-05-22 04:55:09,2025-05-22 04:55:09.321357
32680,2615,Chicken Wings,Classic Chicken Wings with a twist.,410,Appetizers,True,Non-Veg,3.2,2023-06-28 00:17:15,2024-12-14 14:26:11.000000
7660,617,Lemon Herb Fish,Delicious and authentic Lemon Herb Fish.,110,Italian & Continental,True,Non-Veg,3.7,2024-09-27 00:00:07,2025-01-31 05:49:43.000000
5488,443,Sweet Corn Soup,Delicious and authentic Sweet Corn Soup.,456,Chinese & Indo-Chinese,True,Veg,3.4,2024-03-04 00:25:07,2025-04-04 22:37:48.000000
836,68,Gajar Halwa,Classic Gajar Halwa with a twist.,123,Desserts,True,Veg,3.8,2023-11-05 02:43:37,2024-07-18 16:34:22.000000
30832,2467,Set Dosa,A popular Indian dish.,190,South Indian,True,Veg,4.7,2023-07-15 15:34:28,2025-03-26 12:31:07.000000
12890,1034,Kerala Parotta with Egg Curry,A must-try Kerala Parotta with Egg Curry from India.,241,South Indian,True,Non-Veg,4.0,2023-12-18 07:31:22,2023-12-26 09:13:32.000000
3643,294,Chettinad Chicken Curry,A must-try Chettinad Chicken Curry from India.,254,South Indian,True,Non-Veg,3.3,2022-11-30 00:52:47,2023-08-23 13:46:49.000000
673,55,Bisibele Bath,Classic Bisibele Bath with a twist.,216,South Indian,True,Veg,3.6,2024-04-26 05:31:31,2025-03-01 18:36:31.000000
11080,890,Sweet Corn Soup,A popular Indian dish.,252,Chinese & Indo-Chinese,True,Veg,,2025-05-21 08:04:37,2025-05-21 08:04:37.820208
7721,623,Onion Uttapam,Classic Onion Uttapam with a twist.,143,South Indian,True,Veg,2.0,2025-01-05 05:11:21,2025-03-05 13:58:06.000000
30271,2422,Prawn Skewers,Delicious and authentic Prawn Skewers.,107,Appetizers,True,Non-Veg,3.2,2024-07-07 13:59:37,2024-12-27 06:34:45.000000
31701,2538,Nimbu Pani,Delicious and authentic Nimbu Pani.,257,Beverages,True,Veg,3.2,2024-01-25 20:08:51,2024-05-24 19:43:51.000000
9503,766,Dahi Puri,A popular Indian dish.,74,Appetizers,True,Veg,3.4,2024-07-27 10:17:07,2024-09-29 11:00:22.000000
34886,2793,Chettinad Chicken Curry,A must-try Chettinad Chicken Curry from India.,230,South Indian,True,Non-Veg,4.0,2025-03-19 18:07:32,2025-03-27 19:15:01.000000
21616,1733,Malabar Fish Curry,A must-try Malabar Fish Curry from India.,120,Main Course,True,Non-Veg,4.3,2024-05-17 20:40:01,2024-09-29 23:08:30.000000
33126,2651,Spring Rolls,A popular Indian dish.,221,Appetizers,True,Veg,4.0,2023-11-02 23:44:18,2025-03-22 17:33:26.000000
25987,2079,Hot & Sour Soup,Traditional Indian Hot & Sour Soup with rich flavors.,245,Chinese & Indo-Chinese,True,Veg,3.5,2022-03-23 15:08:38,2023-01-10 16:15:08.000000
10169,818,Plain Dosa,Delicious and authentic Plain Dosa.,81,South Indian,True,Veg,4.6,2024-02-19 00:36:10,2024-11-20 06:24:38.000000
33525,2682,Samosa,A must-try Samosa from India.,149,Appetizers,True,Veg,4.0,2023-02-27 09:03:44,2023-11-30 03:50:28.000000
15798,1271,Pesarattu,A popular Indian dish.,93,South Indian,True,Veg,3.5,2024-10-25 22:00:35,2024-12-30 20:22:23.000000
3910,316,Chicken Rezala,A must-try Chicken Rezala from India.,414,Main Course,True,Non-Veg,3.5,2024-04-15 10:49:57,2024-11-22 16:40:45.000000
26037,2083,Ras Malai,A must-try Ras Malai from India.,557,Desserts,True,Veg,3.8,2022-05-08 23:58:44,2022-10-24 07:21:19.000000
32135,2572,Tandoori Broccoli,A popular Indian dish.,326,Appetizers,True,Veg,4.2,2023-02-19 23:06:19,2024-11-10 18:01:06.000000
26325,2106,Coconut Water,Delicious and authentic Coconut Water.,439,Beverages,True,Veg,4.0,2021-08-08 22:40:46,2023-01-21 00:05:29.000000
29695,2375,Buttermilk,Traditional Indian Buttermilk with rich flavors.,323,Beverages,True,Veg,3.7,2022-02-17 02:18:46,2022-09-19 08:17:15.000000
7359,592,Masala Puri,A must-try Masala Puri from India.,426,Snacks & Street Food,True,Veg,4.4,2024-06-09 04:26:52,2024-11-26 07:14:00.000000
30360,2430,Mysore Pak,Traditional Indian Mysore Pak with rich flavors.,431,Desserts,True,Veg,4.0,2023-05-22 20:05:52,2024-01-08 05:37:17.000000
34082,2728,Mango Lassi,Delicious and authentic Mango Lassi.,308,Beverages,True,Veg,4.0,2023-02-05 19:02:49,2024-12-18 12:01:28.000000
28317,2264,Tandoori Momos,A popular Indian dish.,346,Snacks & Street Food,True,Non-Veg,,2025-05-27 01:54:58,2025-05-27 01:54:58.353235
25289,2025,Falooda,Classic Falooda with a twist.,199,Beverages,True,Veg,3.5,2025-02-28 00:31:21,2025-04-21 17:54:11.000000
13820,1111,Mango Lassi,Traditional Indian Mango Lassi with rich flavors.,533,Beverages,True,Veg,,2025-06-08 02:18:34,2025-06-08 02:18:34.462911
23912,1916,Frankie,Delicious and authentic Frankie.,500,Snacks & Street Food,True,Veg,4.1,2022-03-04 15:09:52,2024-08-11 05:02:56.000000
6,1,Dal Makhani,Classic Dal Makhani with a twist.,422,Main Course,True,Veg,4.0,2024-02-02 01:50:42,2024-02-05 00:18:08.000000
30380,2431,Coconut Water,A popular Indian dish.,212,Beverages,True,Veg,3.9,2021-11-10 05:38:11,2023-03-23 18:54:23.000000
16496,1326,Hot & Sour Soup,Delicious and authentic Hot & Sour Soup.,77,Chinese & Indo-Chinese,True,Veg,5.0,2024-12-21 01:41:31,2025-01-17 13:16:07.000000
25926,2075,Modak,Delicious and authentic Modak.,408,Desserts,True,Veg,4.0,2024-01-24 13:58:20,2025-01-21 16:25:19.000000
